#Entity         GRACT        SMACT        SMOCC        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                                                               
GPU 0           N/A          N/A          N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           0.313        0.001        0.000        0.000        0.000        17396210                    174958588                   0                           0                           
GPU 0           0.302        0.001        0.000        0.000        0.000        16913422                    169050881                   0                           0                           
GPU 0           0.314        0.001        0.000        0.000        0.000        17486926                    175310108                   0                           0                           
GPU 0           0.312        0.001        0.000        0.000        0.000        17411912                    174551054                   0                           0                           
GPU 0           0.319        0.001        0.000        0.000        0.000        17797732                    178448047                   0                           0                           
GPU 0           0.316        0.001        0.000        0.000        0.000        17610100                    176535029                   0                           0                           
GPU 0           0.300        0.001        0.000        0.000        0.000        16745689                    167791324                   0                           0                           
GPU 0           0.275        0.001        0.000        0.000        0.000        15317797                    153408088                   0                           0                           
GPU 0           0.271        0.001        0.000        0.000        0.000        15087677                    151081207                   0                           0                           
GPU 0           0.268        0.001        0.000        0.000        0.000        14917815                    149338560                   0                           0                           
GPU 0           0.266        0.001        0.000        0.000        0.000        14820882                    148348257                   0                           0                           
GPU 0           0.272        0.001        0.000        0.000        0.000        15153752                    151751390                   0                           0                           
GPU 0           0.280        0.001        0.000        0.000        0.000        15646993                    156706339                   0                           0                           
GPU 0           0.273        0.001        0.000        0.000        0.000        15223436                    152456096                   0                           0                           
